initialPhonemes,thresholdSlope_1,timeFullGap_2,timeSlopeGapAfterBeginning_3,timeAfterBeginning_4,minWordLength_5,overallMedianFactor_6
(w),0.0328064539185512,42.6793180687262,3919.42316223107,285.15919567958,337.487207903944,2.53326626905762
b,0.0228235943810421,2111.34361554738,4951.93514327155,419.900010997615,3040.56265050401,3.10663739572709
e,0.0528217948337586,5356.89131238459,1763.42879391629,-1199.36367187326,2317.18495277892,6.49459352064792
f,0.0518573030478,25.6078269479741,3075.64926207805,249.469940466691,4327.25084220099,2.02226929794369
g,0.0208086904847874,1047.74727651364,5599.11472934174,561.275893445542,9023.04204059454,1.2332619118653
h,0.0250025817084146,244.725427972523,5599.77791677121,514.01064109572,11261.2357506471,1.05968426700777
k,0.0251835089637147,1608.43667312043,4599.25289885001,607.28392340705,8361.56505599615,1.2990315018499
l,0.0243116284365816,2404.05806366526,3504.98219961298,529.944156486526,4411.74663479898,1.60883837932407
m,0.0245125097817862,1444.57225181691,4238.38883329157,502.938120681065,7735.08260989369,2.08120127354989
n,0.0286611239730244,1866.82613635504,4207.15470912541,505.729367239212,7920.97242111546,1.7800265547544
o,0.00304185931505392,1896.60163765908,6515.6807043208,-748.024819955265,3702.71974051202,3.59166823075684
p,0.0191243274192978,2139.51493477858,4611.55487549641,339.74804372405,7727.13682491969,1.7372776519899
r,0.0241291679640195,1522.8905901893,4935.81733697452,560.994212747536,8564.63836904877,1.32921190574838
s,0.0269581661735694,1965.89980819129,5385.4355854787,484.959941588729,8731.29542301242,1.27940553508104
sch,0.0216145860320038,1236.40341595941,6071.94371516198,448.447368340191,6722.60853966046,1.5237763038275
t,0.0226241731326619,2008.45302664309,4701.85537905173,471.763345064859,9149.52662824999,1.4878188884696
w,0.0288026243899272,1721.05178952017,4577.99730225325,532.647835456011,9459.61000263729,1.10061660024006
z,0.012114455304989,2314.86950912376,4670.78160310655,385.610806251695,9727.16750308619,1.37353720500284
