filenames,initPhonem,initPhonemWritten,gmmKaldiTime,manualLatency,autoLatency,Difference_paper
jon_doe_ex1_Bohren,Plosive,b,875,920,921.0625,1.0625
jon_doe_ex1_Bohren2,Plosive,b,980,1010,1019.25,9.25
jon_doe_ex1_Bohrer,Plosive,b,890,1190,1191.25,1.25
jon_doe_ex1_Gabel,Plosive,g,1205,1200,1210.6875,10.6875
jon_doe_ex1_Gabel2,Plosive,g,815,835,835.84375,0.84375
jon_doe_ex1_Hammer,Fricative,h,785,800,820.8125,20.8125
jon_doe_ex1_Hammer2,Fricative,h,585,600,599.59375,-0.40625
jon_doe_ex1_Kirsche,Plosive,k,815,1760,1752.25,-7.75
jon_doe_ex1_Kirsche2,Plosive,k,1565,1580,1583.90625,3.90625
jon_doe_ex1_Kirsche3,Plosive,k,935,965,966.0625,1.0625
jon_doe_ex1_Kiwi,Plosive,k,4145,4190,4185.6875,-4.3125
jon_doe_ex1_Kiwi2,Plosive,k,770,800,799.4375,-0.5625
jon_doe_ex1_Kratzen2,Plosive,k,2860,2835,2837.75,2.75
jon_doe_ex1_Kratzen3,Plosive,k,1030,1035,1030.9375,-4.0625
jon_doe_ex1_Kuessen,Plosive,k,845,865,858.5625,-6.4375
jon_doe_ex1_Lachen,Approximant_Liquid,l,1510,1535,1533.53125,-1.46875
jon_doe_ex1_Lachen3,Approximant_Liquid,l,1270,1250,1255.375,5.375
jon_doe_ex1_Muschel,Nasal,m,2255,2210,2217.21875,7.21875
jon_doe_ex1_Muschel2,Nasal,m,790,800,797.71875,-2.28125
jon_doe_ex1_Naehen,Nasal,n,1040,1000,1002,2
jon_doe_ex1_Naehen2,Nasal,n,841,800,803.96875,3.96875
jon_doe_ex1_Palme,Plosive,p,830,855,864.53125,9.53125
jon_doe_ex1_Palme2,Plosive,p,631,655,650.3125,-4.6875
jon_doe_ex1_Rauchen,Approximant_Vibrate,r,845,845,849.9375,4.9375
jon_doe_ex1_Rauchen3,Approximant_Vibrate,r,1120,1085,1120.75,35.75
jon_doe_ex1_Rose,Approximant_Vibrate,r,1460,1455,1455.90625,0.90625
jon_doe_ex1_Rutschen,Approximant_Vibrate,r,800,800,792.875,-7.125
jon_doe_ex1_Rutschen2,Approximant_Vibrate,r,815,810,810.59375,0.59375
jon_doe_ex1_Saegen,Fricative,s,1025,1000,1038.03125,38.03125
jon_doe_ex1_Saegen2,Fricative,s,1175,1150,1176,26
jon_doe_ex1_Schaelen2,Fricative,sch,995,975,983.375,8.375
jon_doe_ex1_Schneiden,Fricative,sch,995,945,980.40625,35.40625
jon_doe_ex1_Schneiden2,Fricative,sch,815,800,799.34375,-0.65625
jon_doe_ex1_Schwimmen,Fricative,sch,1030,1035,1054.84375,19.84375
jon_doe_ex1_Schwitzen,Fricative,sch,1390,1385,1395.25,10.25
jon_doe_ex1_Schwitzen2,Fricative,sch,740,1545,1552.875,7.875
jon_doe_ex1_Segeln,Fricative,s,800,800,800.90625,0.90625
jon_doe_ex1_Segeln2,Fricative,s,800,800,799.96875,-0.03125
jon_doe_ex1_Segeln3,Fricative,s,920,885,931.71875,46.71875
jon_doe_ex1_Segeln4,Fricative,s,1565,1550,1576.90625,26.90625
jon_doe_ex1_Segeln5,Fricative,s,2450,2410,2441.96875,31.96875
jon_doe_ex1_Singen2,Fricative,s,820,810,822.21875,12.21875
jon_doe_ex1_Surfen,Fricative,s,830,800,818.84375,18.84375
jon_doe_ex1_Tanzen,Plosive,t,875,895,894.0625,-0.9375
jon_doe_ex1_Tanzen3,Plosive,t,970,975,975.0625,0.0625
jon_doe_ex1_Tauchen,Plosive,t,1240,1225,1226.78125,1.78125
jon_doe_ex1_Tauchen3,Plosive,t,860,880,881.15625,1.15625
jon_doe_ex1_Trichter2,Plosive,t,935,965,964.78125,-0.21875
jon_doe_ex1_Trichter3,Plosive,t,1205,1225,1227.6875,2.6875
jon_doe_ex1_Tulpe,Plosive,t,980,965,964.28125,-0.71875
jon_doe_ex1_Tuple3,Plosive,t,850,865,866.3125,1.3125
jon_doe_ex1_Vase,Fricative,(w),980,950,1016.34375,66.3437500000001
jon_doe_ex1_Vase2,Fricative,(w),830,800,865.5,65.5
jon_doe_ex1_Vase3,Fricative,(w),875,820,882.5625,62.5625
jon_doe_ex1_Wecker2,Fricative,w,890,800,804.09375,4.09375
jon_doe_ex1_Wuerfel,Fricative,w,1160,1100,1096.59375,-3.40625
jon_doe_ex1_Wuerfel2,Fricative,w,905,865,866.28125,1.28125
